"Nazv","Opisanie","Cena","Rating","Otzyv"
"Планшет Samsung Galaxy Tab S5e 10.5 SM-T725 64Gb (2019), серебристый","диагональ: 10.5"" (2560x1600) Super AMOLEDвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Qualcomm Snapdragon 670",32490,4.6,113
"Планшет Lenovo Tab M10 TB-X306F 32Gb (2020), Platinum Grey","диагональ: 10.1"" (1280x800)встроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: MediaTek Helio P22T",10780,4.9,5
"Планшет DIGMA CITI 10 C302T, черный","диагональ: 10.1"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDоперативная память: 3 ГБпроцессор: Intel Celeron N3350",15990,4,2
"Планшет HUAWEI MatePad WiFi 64Gb, midnight grey","диагональ: 10.4"" (2000x1200) IPSвстроенная память: 64 ГБ, слот microSDоперативная память: 4 ГБпроцессор: HiSilicon Kirin 810",19690,4.6,119
"Планшет Lenovo Tab P11 TB-J606L 128Gb LTE (2020), slate grey","диагональ: 11"" (2000x1200) IPSвстроенная память: 128 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Qualcomm Snapdragon 662",24990,4.2,4
"Планшет Samsung Galaxy Tab A 10.1 SM-T515 32Gb (2019), черный","диагональ: 10.1"" (1920x1200) TFTвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Samsung Exynos 7904",16490,4.6,228
"Планшет HONOR Pad V6 Wi-Fi (2020)","диагональ: 10.4"" (2000x1200) IPSвстроенная память: 128 ГБ, слот microSDXCоперативная память: 6 ГБпроцессор: Kirin 985операционная система: Android 10 без сервисов Google",25590,4.7,31
"Планшет HUAWEI MatePad T 10 32Gb Wi-Fi (2020), Deep Sea Blue","диагональ: 9.7"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: HiSilicon Kirin 710A",10490,4.5,19
"Планшет Lenovo Tab M8 TB-8505F 32Gb (2019), silver","диагональ: 8"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: MediaTek Helio A22",10490,4.7,32
"Планшет HUAWEI MatePad LTE 64Gb, midnight grey","диагональ: 10.4"" (2000x1200) IPSвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: HiSilicon Kirin 810",22950,4.6,144
"Планшет Lenovo Tab P11 TB-J606F 128Gb (2020), slate grey","диагональ: 11"" (2000x1200) IPSвстроенная память: 128 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Qualcomm Snapdragon 662",22990,4,NA
"Планшет Samsung Galaxy Tab S7 11 SM-T870 128Gb Wi-Fi (2020), silver","диагональ: 11"" (2560x1600) LTPSвстроенная память: 128 ГБ, слот microSDXCоперативная память: 6 ГБпроцессор: Qualcomm Snapdragon 865+",49900,4.7,34
"Планшет HUAWEI MatePad T 10s 32Gb LTE (2020), Deep Sea Blue","диагональ: 10.1"" (1920x1200) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: HiSilicon Kirin 710A",14490,4.6,17
"Планшет Microsoft Surface Go 2 Pentium 4Gb 64Gb (2020)","диагональ: 10.5"" (1920x1280)встроенная память: 64 ГБ, слот microSDоперативная память: 4 ГБпроцессор: Intel Pentium Gold 4425Yоперационная система: Windows 10",31279,4.3,NA
"Планшет Lenovo Tab M10 TB-X505X 32Gb (2019), черный","диагональ: 10.1"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Qualcomm Snapdragon 429",10714,4.5,49
"Планшет Apple iPad Pro 11 (2020) 128Gb Wi-Fi, space gray","диагональ: 11"" (2388x1668) IPSвстроенная память: 128 ГБоперативная память: 6 ГБпроцессор: Apple A12Z Bionic",63975,4.7,76
"Планшет HUAWEI MatePad T 8.0 16Gb Wi-Fi, Deep Sea Blue","диагональ: 8"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: MediaTek MT8768",10120,4.6,94
"Планшет HUAWEI Mediapad T3 10 16Gb LTE (2017), space grey","диагональ: 9.6"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Qualcomm Snapdragon 425",11350,4.5,151
